"ID","Z","Z_SE","psm_crit","alpha","coho.pres.m","score.coho.pres","cols.coho.pres","chin.pres.m","score.chin.pres","cols.chin.pres","numspp","score.numspp","cols.numspp"
74,-0.365353190593572,0.128904762471207,0.3,0.95,"13460","4.78247732582172","#084082","12487","5.59181065272568","#083B7B","3","0.198115193135861","#083775"
2673,1.02678574751185,0.138144663247673,0.3,0.95,"14692","4.81111444063521","#084083","3607","7.82032047668183","#76B4D8","3","1.6374825057334","#65AAD3"
2534,0.354727255570557,0.0926078238603053,0.3,0.95,"13741","4.8129320564178","#084083","5637","7.23759511388186","#2F7FBC","2","1.59569936231827","#5FA5D1"
2025,-0.883798475221052,0.148538320729821,0.3,0.95,"13283","4.82416670058669","#005522","9905","6.19407642015869","#005F26","3","0.298305149971956","#006629"
2115,0.526915551238526,0.143873778367602,0.3,0.95,"13802","4.82752245742186","#084084","10246","6.20064021388367","#084B93","3","1.06878265223515","#1A68AE"
506,0.319532428508228,0.137552337078558,0.3,0.95,"13638","4.83134553350223","#084184","-9999","-9999","-9999","1","2.7409449022697","#D5E5F4"
1189,-1.06475114116452,0.137186168127256,0.3,0.95,"13284","4.84631324942251","#005622","13283","5.43192298290968","#004A1D","3","0.552397426113761","#107B37"
58,-0.351787982542016,0.135556386741024,0.3,0.95,"12968","4.88565259112982","#084184","2412","7.92748273742526","#8ABFDC","3","0.234857806998119","#083979"
86,0.390579068531089,0.146515926680585,0.3,0.95,"13355","4.89723742026308","#084185","12809","5.59845325096655","#083B7C","3","0.970742002827741","#1562A9"
2164,0.0820140307289656,0.140731825870028,0.3,0.95,"13101","4.89834655920022","#084285","4425","7.48721964965141","#4795C8","3","0.668390224476669","#084F9A"
2094,0.805253250504485,0.129507440588951,0.3,0.95,"13762","4.89844391783795","#084286","13762","5.45591781443798","#083878","3","1.32446590120155","#3888C1"
2626,-0.0248477678680953,0.128819699030089,0.3,0.95,"12994","4.90191055002846","#084286","11959","5.734008145764","#083E81","3","0.516405206319582","#08488F"
587,-1.10440430573675,0.146816091552949,0.3,0.95,"12836","4.92885220631148","#005722","7663","6.72246212493361","#107B38","2","1.36955761992814","#6EC173"
2120,-0.130382215044197,0.137769144662078,0.3,0.95,"12744","4.94988996341142","#084287","6846","6.91295048118314","#1A68AE","3","0.482923406995786","#08478D"
2663,0.141352578995216,0.135704777747524,0.3,0.95,"12851","4.95395881972625","#084387","8776","6.48656950000894","#0A539E","3","0.700567226319481","#09539D"
302,-0.92683689756262,0.140635453051662,0.3,0.95,"12659","4.95461630722024","#005723","6174","7.05941568236994","#319A50","2","1.33046692361177","#50B264"
2092,0.249434269552823,0.137171961155812,0.3,0.95,"12928","4.95482718678126","#084387","2644","7.91173113710981","#85BCDB","3","0.80941720492122","#0D57A1"
2329,-0.173568029856887,0.138674817707558,0.3,0.95,"12703","4.95662868856393","#084388","5757","7.1636503401682","#2676B7","3","0.46524807837629","#08458B"
2125,0.632320604694257,0.100432631188011,0.3,0.95,"13247","4.96288281366841","#084388","7276","6.89678498046328","#1865AC","3","1.17257813617491","#1F6EB3"
385,-0.0438713695538576,0.133006259643174,0.3,0.95,"12665","4.96425267939059","#084489","10271","6.11959440277845","#084990","3","0.463204924854034","#08458B"
2615,0.0579197716033373,0.132344775847026,0.3,0.95,"12709","4.97418224243004","#084489","9835","6.23551698375059","#084C95","3","0.634828869830534","#084E97"
1585,-2.13570889612608,0.138965614426213,0.3,0.95,"13597","4.99044032622783","#005823","5410","7.38913707424001","#4EB163","3","1.5301341254589","#9FD899"
2081,-0.887138521149773,0.148690234433018,0.3,0.95,"12493","4.99046374984173","#005923","-9999","-9999","-9999","3","0.350712666365564","#006C2B"
2915,0.203481207257492,0.134295479655976,0.3,0.95,"12728","4.99656811100836","#084489","12202","5.71286662180341","#083D7F","3","0.815427801534847","#0D58A1"
374,1.37124157665164,0.132257223168403,0.3,0.95,"14247","5.00816305613534","#08458A","14221","5.53839523911451","#083979","3","1.9432118191982","#93C4DE"
2091,0.82395276085983,0.138281275239991,0.3,0.95,"13162","5.01762094526644","#08458A","5770","7.26704545604453","#3181BD","3","1.32347979289994","#3888C0"
482,-0.0374795127105498,0.129048864756131,0.3,0.95,"12402","5.02030514979319","#08458B","374","8.41041205790651","#D4E4F3","3","0.483968264007186","#08478E"
1241,-0.885636676525206,0.12823741978024,0.3,0.95,"12364","5.02035825294473","#005924","8659","6.48780415211823","#026F2D","3","0.395282996611974","#026F2E"
487,0.254610623259989,0.140072201602923,0.3,0.95,"12568","5.02930224805414","#08458B","12039","5.75037851310481","#083F81","3","0.816187197102251","#0E58A2"
2595,-0.0398116108565791,0.137397490219755,0.3,0.95,"12306","5.04632912937174","#08468B","9390","6.32983555466736","#084F99","2","1.40037128491192","#4795C7"
2130,0.287820936081567,0.140615216317484,0.3,0.95,"12543","5.04997331187179","#08468C","11726","5.83568919252394","#084083","3","0.907318977556433","#135FA7"
2261,-0.481438772960512,0.126762366449517,0.3,0.95,"12145","5.05067880964448","#08468C","5544","7.19837488590475","#2A7AB9","3","0.0821092537734208","#08336F"
2123,0.539296748991804,0.0930942239251092,0.3,0.95,"12643","5.0527542925092","#08478D","12","8.54244110072199","#E4EFF9","3","1.02768469478684","#1866AC"
2458,-1.26415928821107,0.153778060558295,0.3,0.95,"12284","5.06036169380562","#005A24","-9999","-9999","-9999","1","2.65471289588607","#E5F5E0"
912,-0.892617396284617,0.136033678067985,0.3,0.95,"11988","5.08941702464945","#005B24","4493","7.4463265635681","#52B365","3","0.266347352468309","#005F26"
102,1.32417864070471,0.154109672305429,0.3,0.95,"13762","5.09059201537512","#08478D","13185","5.75502269352338","#084082","3","1.9166596396447","#8FC2DD"
71,-0.729709202611575,0.135487447915984,0.3,0.95,"11968","5.09071973440355","#005C25","5698","7.16514926153913","#369F54","3","0.205403126141687","#005A24"
2549,0.593902984718056,0.105757234541586,0.3,0.95,"12536","5.09476476577672","#08478E","10109","6.24162549835471","#084D96","3","1.12394681872955","#1C6BB0"
2116,-0.230161457865445,0.132385924628937,0.3,0.95,"11964","5.09633714143962","#08478E","11964","5.71751221659489","#083E80","3","0.301676559411756","#083E7F"
332,-0.668545840388704,0.129719638033167,0.3,0.95,"11863","5.11020645391926","#005C25","11656","5.78266850462036","#005321","3","0.140885623900575","#005622"
2290,0.0775624649271684,0.129643035417303,0.3,0.95,"11932","5.13074203242971","#08488E","8313","6.58454594753946","#0C57A0","3","0.612836676395309","#084D96"
389,0.486690257234222,0.137266688051383,0.3,0.95,"12260","5.13088201372613","#08488F","11545","5.89748227740692","#084286","3","1.03087474496442","#1866AC"
2264,-1.41943896037678,0.141869809467781,0.3,0.95,"12117","5.13167906153041","#005D25","389","8.43892675136364","#E1F3DC","3","0.87924056077693","#1D8640"
398,0.244435251739888,0.138209543474221,0.3,0.95,"11996","5.13964189837361","#08488F","14024","5.28914458322431","#083775","3","0.775557502142372","#0C56A0"
1521,0.780243989763087,0.143278747286762,0.3,0.95,"12573","5.14712260448402","#084890","4394","7.58909443344078","#569FCD","3","1.36945309367042","#4191C5"
2098,0.292497881733965,0.138736323504828,0.3,0.95,"12000","5.147331221686","#084990","8945","6.46297152883816","#09539D","3","0.830051155207957","#0E59A2"
163,0.384426171112334,0.142852132177751,0.3,0.95,"12085","5.15150093219087","#084990","915","8.32588502878213","#CFE1F2","3","0.953945577056827","#1562A9"
2163,0.00582718000363655,0.138621316476787,0.3,0.95,"11794","5.15283069067557","#084991","11102","5.93568291274844","#084387","3","0.558104236596251","#084B94"
330,-0.591890489397465,0.136233460036426,0.3,0.95,"11444","5.19509483538637","#005E25","9921","6.18341343007984","#005D25","2","1.29085554636507","#2A934B"
1205,-1.19116999796393,0.146012662338031,0.3,0.95,"11578","5.1965984731304","#005F26","6271","7.05105025854767","#2C944C","3","0.552573166415031","#107B38"
2565,-0.587245496302779,0.139929101315478,0.3,0.95,"11436","5.19662731494609","#084A91","8837","6.4346128219479","#08519C","3","0.0405236657227201","#08316C"
327,-0.768998299394441,0.1401312415168,0.3,0.95,"11435","5.20114042143514","#005F26","1648","8.1039869915378","#B6E2AF","2","1.30760860412245","#3CA659"
2262,-0.674505542477897,0.138645341781617,0.3,0.95,"11394","5.20534384795542","#006026","-9999","-9999","-9999","2","1.29053724352418","#279048"
152,1.3851556029427,0.133275202714423,0.3,0.95,"13128","5.22431713887487","#084A92","11935","6.03956025655327","#08468C","3","1.94949577882655","#95C5DF"
2755,0.836691381582948,0.103326488217037,0.3,0.95,"12202","5.22926303848774","#084A92","5595","7.32128079818571","#3585BF","2","1.90388551049144","#8DC1DD"
2618,0.409071350312575,0.134092184746132,0.3,0.95,"11641","5.23316854270466","#084A92","4325","7.53519030755026","#509BCB","3","0.906131446931936","#135FA7"
2635,0.645046315127717,0.136284750164216,0.3,0.95,"11886","5.23817508474672","#084B93","4587","7.51302947978361","#4A97C9","3","1.18009923264258","#1F6FB3"
2475,-0.402472797081056,0.127995142768736,0.3,0.95,"11256","5.23885025818744","#084B93","11241","5.88179179835763","#084286","3","0.233324108799006","#083979"
2594,-1.40489873096251,0.15333133247438,0.3,0.95,"11523","5.24468203678825","#006127","9063","6.43591018931619","#006C2B","2","1.53403702938276","#A1D99B"
418,0.0232250873499281,0.128996136113692,0.3,0.95,"11363","5.24569521906806","#084B94","10544","6.06824213017464","#08478D","3","0.597558668530234","#084D96"
930,-0.899661677153123,0.126908295292105,0.3,0.95,"11204","5.25401134316435","#006227","12","8.48634999065143","#EBF7E7","3","0.317760973727532","#00682A"
44,-0.866920796468898,0.134614293325922,0.3,0.95,"11185","5.25797256589486","#006227","8908","6.42592230170139","#006A2B","3","0.318481208795573","#00692A"
2667,0.249740039897,0.13253786059989,0.3,0.95,"11425","5.2608904319733","#084C94","-9999","-9999","-9999","1","2.70254125534843","#D1E2F2"
2483,-0.455333637372783,0.134163381076569,0.3,0.95,"11113","5.26387611262678","#084C95","7407","6.76653704528756","#115DA5","2","1.29252750124504","#2979B9"
386,0.735198394087202,0.134195725806184,0.3,0.95,"11850","5.27479102737398","#084C95","10844","6.11007006103094","#08488F","3","1.30446019160612","#2E7EBC"
2664,0.494639462236933,0.13793685065927,0.3,0.95,"11557","5.27684902854657","#084C95","2252","8.02994643235892","#A2CCE2","3","1.04928001431763","#1967AD"
2255,-0.863161317569958,0.146177141449116,0.3,0.95,"11083","5.27922781820395","#006328","7640","6.71971498153588","#0F7A37","2","1.32936473142643","#4FB264"
2109,0.169776439476282,0.148006319606939,0.3,0.95,"11326","5.27961056842025","#084D96","3175","7.78794724826097","#71B1D7","3","0.79644383346319","#0D57A1"
1317,-0.435101437917576,0.132229334053338,0.3,0.95,"11027","5.28339162614055","#084D96","-9999","-9999","-9999","1","2.58445394760977","#C1D8ED"
2940,0.342102194293277,0.139051047602397,0.3,0.95,"11391","5.28436116731258","#084D97","5770","7.20297404806932","#2B7BBA","3","0.908011144841875","#135FA7"
1528,1.21660109112038,0.144613394656696,0.3,0.95,"12497","5.28653848225096","#084D97","-9999","-9999","-9999","2","2.19941010037671","#ACD0E6"
2124,0.489581116998661,0.104741492774535,0.3,0.95,"11457","5.28880842619904","#084E97","3298","7.78396152174581","#70B1D7","3","1.00661148185023","#1664AB"
913,-0.650439719588318,0.130370408920818,0.3,0.95,"10957","5.29623067191839","#006428","-9999","-9999","-9999","2","1.29307580031477","#2F984F"
2304,-0.529211022643486,0.131778124566021,0.3,0.95,"10948","5.29732934653623","#084E98","5608","7.18310916796068","#2777B8","3","0.0239156993136622","#08306B"
1859,-0.912747553441638,0.158824554963668,0.3,0.95,"10975","5.29846928617249","#006428","-9999","-9999","-9999","2","1.31724260198318","#44AC5E"
2767,0.814375226599757,0.138444643623419,0.3,0.95,"11756","5.31244513941778","#084E98","8280","6.70689608774468","#105BA4","2","1.88807488549549","#8CC0DD"
271,-1.03319083451485,0.140435177307397,0.3,0.95,"10962","5.31571767371072","#006528","9374","6.32790279380149","#006529","2","1.37469187257186","#6FC173"
934,-0.103247023498662,0.120355466355269,0.3,0.95,"10923","5.31908038329455","#084F99","365","8.40907834685776","#D4E4F3","3","0.420416888386914","#084388"
2785,1.16599055847596,0.141537923265826,0.3,0.95,"12318","5.31955992219381","#084F99","9454","6.53735789599737","#0C56A0","2","2.19503647053685","#ACCFE5"
1535,0.59808196508808,0.138337318863314,0.3,0.95,"11435","5.32586571634767","#084F99","-9999","-9999","-9999","2","1.73862710396911","#75B3D8"
2048,-0.412972491476988,0.142670940151323,0.3,0.95,"10823","5.32732819591741","#084F9A","151","8.45084115999008","#D8E7F5","3","0.212293379709523","#083878"
106,0.600277788036087,0.145960068937809,0.3,0.95,"11422","5.32779013917324","#08509A","10705","6.11302528551639","#08488F","3","1.1627510405957","#1E6DB2"
2556,0.256152476201852,0.13410910810726,0.3,0.95,"11146","5.33007232073613","#08509B","8042","6.67746928510486","#0F5AA3","3","0.883287943130404","#125EA6"
2686,1.54892696634556,0.143954920730383,0.3,0.95,"12802","5.35050788467317","#08509B","4755","7.67816176342263","#61A7D2","3","2.11604332087058","#A5CDE3"
595,-0.514286916940366,0.11757169680797,0.3,0.95,"10686","5.3514423703578","#006629","2660","7.86653993030226","#8ACE88","3","0.0221228957460714","#00461B"
2084,0.180346609691226,0.136500450738932,0.3,0.95,"10824","5.3621320478788","#08519C","4269","7.52141753712407","#4C99CA","3","0.647535334956627","#084E98"
2533,-1.31157022244098,0.144301888504623,0.3,0.95,"10796","5.37205439030924","#006729","-9999","-9999","-9999","1","2.66793500914524","#E8F6E3"
65,-1.2000590417866,0.140028933468097,0.3,0.95,"10737","5.37410476808464","#006729","6816","6.92876906855048","#1F8742","3","0.596824601409481","#147E3A"
2316,0.780261970090616,0.111062812643891,0.3,0.95,"11309","5.38510882193414","#08519C","10628","6.16071695597322","#084991","3","1.31254081414461","#3282BE"
352,0.256312927522585,0.142109315911138,0.3,0.95,"10842","5.3877593002215","#08519C","3346","7.75496565848231","#69ADD5","3","0.856949297288785","#115CA5"
2768,0.824728371887734,0.142050754459604,0.3,0.95,"11373","5.38883678209858","#08519C","6281","7.16102171775975","#2474B6","2","1.88792620846175","#8BBFDD"
2783,0.813677784550498,0.137430592188046,0.3,0.95,"11320","5.39212924125276","#08529C","5486","7.3366043245676","#3787C0","2","1.86696879640305","#88BEDC"
347,-0.0788202520956012,0.133442335091177,0.3,0.95,"10594","5.39653212525317","#09529D","7755","6.70633641996539","#105BA4","3","0.530425694133362","#084990"
1519,0.678064856613325,0.141915565885464,0.3,0.95,"11183","5.39910465741048","#09529D","-9999","-9999","-9999","2","1.80681152934955","#81BADA"
503,-0.235371234273636,0.127125962048008,0.3,0.95,"10481","5.40106757050305","#09529D","-9999","-9999","-9999","2","1.32003079769545","#3585BF"
