"","site","psm_crit","alpha","delta_z"
"133","845",0.19,0.73,1.06713115492632
"134","845",0.2,0.73,1.11351961522111
"135","845",0.21,0.73,1.16040396068582
"136","845",0.22,0.73,1.20402545983777
"137","845",0.23,0.73,1.24551595777205
"138","845",0.24,0.73,1.28649899553913
"139","845",0.25,0.73,1.33049890065994
"140","845",0.26,0.73,1.37269476780591
"141","845",0.27,0.73,1.4120791340477
"142","845",0.28,0.73,1.44699434883714
"143","845",0.29,0.73,1.4839575364758
"144","845",0.3,0.73,1.5185695617091
"145","845",0.31,0.73,1.55447790268944
"146","845",0.32,0.73,1.5913595986453
"147","845",0.33,0.73,1.62621169894557
"148","845",0.34,0.73,1.65959344211733
"149","845",0.35,0.73,1.69106029230683
"150","845",0.36,0.73,1.72234149049658
"151","845",0.37,0.73,1.75490697624178
"152","845",0.38,0.73,1.7832631368829
"153","845",0.39,0.73,1.81295241298298
"154","845",0.4,0.73,1.84182623038888
"155","845",0.41,0.73,1.86846604896013
"156","845",0.42,0.73,1.89892190920332
"157","845",0.43,0.73,1.93016120355335
"158","845",0.44,0.73,1.96001207546791
"159","845",0.45,0.73,1.98740669259095
"160","845",0.46,0.73,2.02092984663361
"161","845",0.47,0.73,2.0502477324874
"162","845",0.48,0.73,2.07546320978495
"163","845",0.49,0.73,2.10506624358203
"164","845",0.5,0.73,2.13239159184157
"165","845",0.1,0.74,0.467155148015387
"166","845",0.11,0.74,0.551136159403366
"167","845",0.12,0.74,0.62542107135203
"168","845",0.13,0.74,0.69483073273141
"169","845",0.14,0.74,0.761549698116342
"170","845",0.15,0.74,0.82190111560329
"171","845",0.16,0.74,0.879866550281311
"172","845",0.17,0.74,0.931119641313623
"173","845",0.18,0.74,0.979174430260809
"174","845",0.19,0.74,1.03143872988758
"175","845",0.2,0.74,1.07621511453399
"176","845",0.21,0.74,1.12263345412986
"177","845",0.22,0.74,1.16729366946241
"178","845",0.23,0.74,1.20880854356647
"179","845",0.24,0.74,1.25206734690017
"180","845",0.25,0.74,1.29572850921666
"181","845",0.26,0.74,1.33698641704992
"182","845",0.27,0.74,1.37508090866599
"183","845",0.28,0.74,1.41037672064958
"184","845",0.29,0.74,1.444290094023
"185","845",0.3,0.74,1.48213031390372
"186","845",0.31,0.74,1.5171676349992
"187","845",0.32,0.74,1.55066021638227
"188","845",0.33,0.74,1.58272731006658
"189","845",0.34,0.74,1.61673352578993
"190","845",0.35,0.74,1.64731627569366
"191","845",0.36,0.74,1.68180288684573
"192","845",0.37,0.74,1.70976765053863
"193","845",0.38,0.74,1.74076189536814
"194","845",0.39,0.74,1.77200812729451
"195","845",0.4,0.74,1.80274393332143
"196","845",0.41,0.74,1.83126321314452
"197","845",0.42,0.74,1.8589350212961
"198","845",0.43,0.74,1.88786739429992
"199","845",0.44,0.74,1.91943297071198
"200","845",0.45,0.74,1.94720697694551
"201","845",0.46,0.74,1.9792629040906
"202","845",0.47,0.74,2.00880186286465
"203","845",0.48,0.74,2.03831692236521
"204","845",0.49,0.74,2.06715585726922
"205","845",0.5,0.74,2.09463150846076
"206","845",0.1,0.75,0.431618260939525
"207","845",0.11,0.75,0.512448338491346
"208","845",0.12,0.75,0.585335303517518
"209","845",0.13,0.75,0.656772255111309
"210","845",0.14,0.75,0.725847259804508
"211","845",0.15,0.75,0.783406835203458
"212","845",0.16,0.75,0.83936246747976
"213","845",0.17,0.75,0.893677962733244
"214","845",0.18,0.75,0.944334364228038
"215","845",0.19,0.75,0.993606744044346
"216","845",0.2,0.75,1.04031418640182
"217","845",0.21,0.75,1.08747330863464
"218","845",0.22,0.75,1.13048866270288
"219","845",0.23,0.75,1.1750893880066
"220","845",0.24,0.75,1.21596665448211
"221","845",0.25,0.75,1.25068495034561
"222","845",0.26,0.75,1.28753482030278
"223","845",0.27,0.75,1.32724298391934
"224","845",0.28,0.75,1.36636084553486
"225","845",0.29,0.75,1.39873358828243
"226","845",0.3,0.75,1.4365634851149
"227","845",0.31,0.75,1.46892810229754
"228","845",0.32,0.75,1.50502717100119
"229","845",0.33,0.75,1.53764228489069
"230","845",0.34,0.75,1.57296852675275
"231","845",0.35,0.75,1.60339312339372
"232","845",0.36,0.75,1.63444964940151
"233","845",0.37,0.75,1.66776601271691
"234","845",0.38,0.75,1.69910197554778
"235","845",0.39,0.75,1.73065986278813
"236","845",0.4,0.75,1.75885252309827
"237","845",0.41,0.75,1.79127166040941
"238","845",0.42,0.75,1.8196271496754
"239","845",0.43,0.75,1.8500399523365
"240","845",0.44,0.75,1.8816710732403
"241","845",0.45,0.75,1.90930081724524
"242","845",0.46,0.75,1.9374826091282
"243","845",0.47,0.75,1.96398067237712
"244","845",0.48,0.75,1.99147925558478
"245","845",0.49,0.75,2.02113342464968
"246","845",0.5,0.75,2.04776782700451
"247","845",0.1,0.76,0.382272666515811
"248","845",0.11,0.76,0.468655613349182
"249","845",0.12,0.76,0.54568180295619
"250","845",0.13,0.76,0.61805379919359
"251","845",0.14,0.76,0.683754437364302
"252","845",0.15,0.76,0.745736685557464
"253","845",0.16,0.76,0.802414576098817
"254","845",0.17,0.76,0.852910205218584
"255","845",0.18,0.76,0.90604906852801
"256","845",0.19,0.76,0.951609007367392
"257","845",0.2,0.76,0.997086307002892
"258","845",0.21,0.76,1.04509735450746
"259","845",0.22,0.76,1.08975913718579
"260","845",0.23,0.76,1.12864465095284
"261","845",0.24,0.76,1.17399397648477
"262","845",0.25,0.76,1.2120103553075
"263","845",0.26,0.76,1.24888320695061
"264","845",0.27,0.76,1.28473255642707
"265","845",0.28,0.76,1.31987633308448
"266","845",0.29,0.76,1.35710202749925
"267","845",0.3,0.76,1.39465082719229
"268","845",0.31,0.76,1.43377633730594
"269","845",0.32,0.76,1.46802499611165
"270","845",0.33,0.76,1.50142386727092
"271","845",0.34,0.76,1.53296660024742
"272","845",0.35,0.76,1.56688884832692
"273","845",0.36,0.76,1.59770396154504
"274","845",0.37,0.76,1.62883665509039
"275","845",0.38,0.76,1.65986639827375
"276","845",0.39,0.76,1.68885313773796
"277","845",0.4,0.76,1.71819825289635
"278","845",0.41,0.76,1.74659750806291
"279","845",0.42,0.76,1.78079266910068
"280","845",0.43,0.76,1.81034290212611
"281","845",0.44,0.76,1.83637005200727
"282","845",0.45,0.76,1.86240301196608
"283","845",0.46,0.76,1.8889122097234
"284","845",0.47,0.76,1.91681679161417
"285","845",0.48,0.76,1.94367214040686
"286","845",0.49,0.76,1.97156160740418
"287","845",0.5,0.76,2.00170972124054
"288","845",0.1,0.77,0.339330750258079
"289","845",0.11,0.77,0.424269668194275
"290","845",0.12,0.77,0.508614128487629
"291","845",0.13,0.77,0.577734020847946
"292","845",0.14,0.77,0.642793091180831
"293","845",0.15,0.77,0.700465505363774
"294","845",0.16,0.77,0.759799806065576
"295","845",0.17,0.77,0.809168111671544
"296","845",0.18,0.77,0.860465353225274
"297","845",0.19,0.77,0.911322957466528
"298","845",0.2,0.77,0.963430821420496
"299","845",0.21,0.77,1.00609178639058
"300","845",0.22,0.77,1.05254635011366
"301","845",0.23,0.77,1.09365267691316
"302","845",0.24,0.77,1.1317918360229
"303","845",0.25,0.77,1.17054803005018
"304","845",0.26,0.77,1.2104910545203
"305","845",0.27,0.77,1.2527418023393
"306","845",0.28,0.77,1.28988881792777
"307","845",0.29,0.77,1.32289526228378
"308","845",0.3,0.77,1.35853212808145
"309","845",0.31,0.77,1.39597956236963
"310","845",0.32,0.77,1.43074231181136
"311","845",0.33,0.77,1.46382248694946
"312","845",0.34,0.77,1.49509551800792
"313","845",0.35,0.77,1.52257048334748
"314","845",0.36,0.77,1.5552460490548
"315","845",0.37,0.77,1.58512647380184
"316","845",0.38,0.77,1.61458897833954
"317","845",0.39,0.77,1.64402803770775
"318","845",0.4,0.77,1.67426383297193
"319","845",0.41,0.77,1.70466601653463
"320","845",0.42,0.77,1.73149287305919
"321","845",0.43,0.77,1.75846355228157
"322","845",0.44,0.77,1.78987875070768
"323","845",0.45,0.77,1.81864485653648
"324","845",0.46,0.77,1.84656992413658
"325","845",0.47,0.77,1.87473678235121
"326","845",0.48,0.77,1.90726262388823
"327","845",0.49,0.77,1.93473811076889
"328","845",0.5,0.77,1.96469757619926
"329","845",0.1,0.78,0.294810418256564
"330","845",0.11,0.78,0.378221402740355
"331","845",0.12,0.78,0.453970785632162
"332","845",0.13,0.78,0.526970271476949
"333","845",0.14,0.78,0.592151413743625
"334","845",0.15,0.78,0.651748949223792
"335","845",0.16,0.78,0.709483854547371
"336","845",0.17,0.78,0.762970431042657
"337","845",0.18,0.78,0.819257413599139
"338","845",0.19,0.78,0.874610765735915
"339","845",0.2,0.78,0.921247227896097
"340","845",0.21,0.78,0.965213435841733
"341","845",0.22,0.78,1.00947265569062
"342","845",0.23,0.78,1.05320360123545
"343","845",0.24,0.78,1.09344125076918
"344","845",0.25,0.78,1.1318505833182
"345","845",0.26,0.78,1.17207221267374
"346","845",0.27,0.78,1.20959436834798
"347","845",0.28,0.78,1.25139862415664
"348","845",0.29,0.78,1.28698278724331
"349","845",0.3,0.78,1.32300766333467
"350","845",0.31,0.78,1.35587273523329
"351","845",0.32,0.78,1.38829986329907
