"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,1.75730735656587,6.90586700737546,36592,1.75730735656587,"#00441B",1
491,0.502655570844759,4.31303339848647,24516,2.64110748480359,"#00461C",2
15,-0.0884942414297828,3.87266392748355,22465,3.03449372295149,"#08306B",3
462,1.38573813582496,3.02864033386458,18534,4.11742114179056,"#00491D",4
319,2.53508160321308,3.4286443926059,20397,4.3032215661774,"#004C1E",5
497,1.39304208647228,2.80276579291135,17482,4.33312887309158,"#004F1F",6
328,0.891616568942435,2.59707395808892,16524,4.40007700473442,"#005220",7
96,0.630502973374423,2.3284721988375,15273,4.62061437826878,"#005522",8
374,-0.0690394061636604,2.10259765788427,14221,4.80376549004684,"#083572",9
26,0.122329202545807,2.06910295409273,14065,4.83831075282722,"#005723",10
63,0.637541951908371,2.01241960921473,13801,4.93480366164746,"#005A24",11
937,-0.729629662448019,2.01263431885442,13802,4.94733115814323,"#083A7A",12
95,1.42535587211263,2.15928100276227,14485,4.95597801259809,"#005D25",13
102,-0.299165775502848,1.88015847116607,13185,5.03460489533788,"#083F82",14
398,1.46814611690055,2.06029985886547,14024,5.06309924959895,"#006026",15
1189,-1.01508086666462,1.90120001585563,13283,5.10657232024346,"#084489",16
86,0.281460077394961,1.79942764664286,12809,5.11419032887967,"#006327",17
74,0.820920880295784,1.73029114266288,12487,5.2402763880449,"#006629",18
273,-0.105532513938522,1.6469838024634,12099,5.25994198393901,"#084A91",19
1242,0.852342236672159,1.71418791968618,12412,5.26118038447319,"#00692A",20
399,2.08758173838111,1.96539819812276,13582,5.36341584902953,"#006B2B",21
329,1.61275153800005,1.63517477228049,12044,5.51191111688242,"#016E2C",22
487,1.83965808494459,1.63410122408204,12039,5.58353439529168,"#03702E",23
139,0.709439854623589,1.33114592248032,10628,5.61968149290534,"#057230",24
152,1.8928810100149,1.61177142155434,11935,5.62231683471197,"#087331",25
167,1.22415410895102,1.39469997582838,10924,5.64548627950446,"#0A7533",26
25,0.52861187845129,1.27510670652139,10367,5.65551872808445,"#0C7735",27
389,1.79686882392233,1.52803466207548,11545,5.67008097865795,"#0E7936",28
143,0.973506382502373,1.30409250787946,10502,5.68573585562824,"#117B38",29
588,1.76334859495555,1.49883415107773,11409,5.68730187139868,"#137D39",30
386,1.40477240417933,1.37752320465323,10844,5.7040310928887,"#157F3B",31
119,0.780799208192064,1.20489665434296,10040,5.75419067894598,"#17813D",32
381,-0.648208427400927,1.1759108529849,9905,5.76650428739907,"#084F99",33
106,1.55812838427669,1.3476785647364,10705,5.77245379589781,"#1A833E",34
385,1.29920908943986,1.25449458111121,10271,5.79878905965918,"#1C8540",35
1195,2.66775680818325,1.75584158978592,12606,5.79997311971585,"#1E8741",36
1239,0.824978239197697,1.15980763000819,9830,5.80497954030676,"#218943",37
306,-0.20357085586822,1.04880274628878,9313,5.86060089511799,"#0A549E",38
1192,0.954971066383545,1.123306991261,9660,5.86088475211682,"#238B45",39
271,-0.567749105972857,1.06190003430983,9374,5.87148099116524,"#0E58A2",40
1460,-0.565970238642732,1.06018235719232,9366,5.87301892900203,"#115DA5",41
330,1.34806227682931,1.17934620721993,9921,5.88305298096356,"#258D46",42
332,2.49903415749443,1.55186743208101,11656,5.90850938668774,"#268F48",43
44,0.113031523724147,0.961845342214582,8908,5.94509627182414,"#289049",44
68,0.487700415436999,0.938871410767818,8801,5.98689302937278,"#2A924A",45
358,-0.117253159122983,0.832375429481884,8305,6.07462330108366,"#1562A9",46
630,0.787275255501469,0.879826259853237,8526,6.077250152719,"#2C944C",47
617,-0.0448049083550409,0.810045626954188,8201,6.09598603851861,"#1966AD",48
267,-0.189696949371955,0.808972078755741,8196,6.09984530158183,"#1C6BB0",49
144,1.11315492138553,0.904303158777827,8640,6.10392353390824,"#2D964D",50
1231,-0.263590314427813,0.796089500374378,8136,6.11546081983333,"#2070B4",51
418,2.54253286503437,1.31311031274641,10544,6.14356580619903,"#2F984F",52
266,-0.311399555503852,0.734897253062904,7851,6.17882168312117,"#2474B7",53
1241,1.56976006192449,0.908382641931925,8659,6.19951331684616,"#319A50",54
420,1.74935546054723,0.913106254005092,8681,6.24287001101918,"#339C52",55
51,-0.626648024849219,0.694102421521921,7661,6.2432929626209,"#2979B9",56
27,0.596841191767932,0.65631352493659,7485,6.2779883830774,"#359E53",57
337,2.07404451377662,0.969789598883089,8945,6.28797866128221,"#36A054",58
627,0.211106732299567,0.611224500601819,7275,6.29818151060318,"#38A256",59
614,-0.0594720517760019,0.605856759609585,7250,6.3002909493846,"#2D7DBB",60
1225,0.335716263392531,0.577729796810275,7119,6.33703605522692,"#3AA357",61
64,0.651236286129256,0.596194825823562,7205,6.34319097450339,"#3CA559",62
75,0.279700095257009,0.565276637708291,7061,6.3467565243361,"#3DA75A",63
35,-0.905757002323411,0.610150952403372,7270,6.36053742950163,"#3282BD",64
1240,0.773457588880155,0.568926701583011,7078,6.38396812969592,"#3FA95B",65
65,0.697046796990552,0.512672775984393,6816,6.43108130235397,"#41AB5D",66
34,-0.265103478961711,0.47874865291347,6658,6.43258347764099,"#3686C0",67
355,1.34808826092515,0.580521022126237,7132,6.46740626467463,"#44AC5E",68
382,1.26191342517378,0.535431997791467,6922,6.49421802097583,"#47AE60",69
587,1.92631652663571,0.6945318408013,7663,6.5031822911795,"#4AAF61",70
62,0.834084260120734,0.455774721466706,6551,6.50379789428614,"#4CB062",71
390,1.250036769085,0.500004907242719,6757,6.52668837696282,"#4FB264",72
1190,0.781920838789657,0.424212404432367,6404,6.52864814414033,"#52B365",73
347,2.07366734452058,0.714285127652723,7755,6.52960813747977,"#54B466",74
100,1.57460323230721,0.539726190585255,6942,6.55798171988872,"#57B668",75
336,2.62910053621393,0.896144192469631,8602,6.55964465055235,"#5AB769",76
72,0.745746069163006,0.383202863251695,6213,6.56515687068557,"#5DB86A",77
339,1.06586910696113,0.406820923617527,6323,6.58586949096195,"#5FBA6C",78
525,-0.378091730035611,0.314281068911403,5892,6.60242065764356,"#3B8BC2",79
1216,-1.14581284385383,0.402526730823739,6303,6.60350829678893,"#3F8FC4",80
1232,0.157815655972366,0.302042619449108,5835,6.60570982770518,"#62BB6D",81
423,1.61494185968778,0.493778327691727,6728,6.61233078772532,"#65BC6E",82
103,2.11841474346018,0.621745272946599,7324,6.63158103308937,"#68BE70",83
375,0.302178074376966,0.276277462686382,5715,6.63647264137244,"#6ABF71",84
78,1.00827666517315,0.344340418467916,6032,6.63854298852341,"#6DC072",85
308,2.13900355744733,0.621101144027531,7321,6.63879644031023,"#70C274",86
1205,1.31203466515899,0.395656022353679,6271,6.64110548267961,"#73C375",87
71,0.470202283005911,0.272627398811662,5698,6.64988405098642,"#75C477",88
196,1.33811894655558,0.383846992170763,6216,6.65787559164796,"#77C578",89
1291,0.85628330986142,0.295171910979048,5803,6.66592159901891,"#79C67A",90
1469,-0.0182991995311731,0.236770888983535,5531,6.66912122374858,"#4493C6",91
43,0.211296985642112,0.239562114299497,5544,6.66965271536607,"#7BC77C",92
454,2.45247115577815,0.696678937198194,7673,6.67597418065375,"#7DC87E",93
612,1.30513711846027,0.351640546217355,6066,6.68290860345463,"#80C97F",94
695,1.73637930259359,0.44740104551882,6512,6.68780948165662,"#82CA81",95
472,1.60914232972695,0.408109181455663,6329,6.69404181355488,"#84CB83",96
137,0.713408871428752,0.242997468534527,5560,6.70095386564089,"#86CC85",97
302,1.51548240644679,0.374829187303809,6174,6.7045612780745,"#88CD86",98
1204,0.814386302882082,0.232047276910369,5509,6.72332468686937,"#8ACE88",99
46,-0.767679169431246,0.217447021411491,5441,6.73233193000916,"#4997C8",100
38,0.128614180340488,0.147881098152131,5117,6.75920965473373,"#8CCF8A",101
1238,1.08788322204655,0.18996418753125,5313,6.80344328927653,"#8FD08C",102
1301,0.618391706264199,0.125766005264124,5014,6.80824337852338,"#91D18D",103
50,-0.0616604446636732,0.0937742689504063,4865,6.81237179602959,"#4E9ACA",104
110,1.76034416844934,0.323298873778357,5934,6.81388397500586,"#93D28F",105
118,0.839868898559882,0.136930906527972,5066,6.82084127539445,"#95D391",106
618,0.434406372201311,0.0969949135457471,4880,6.82271559471316,"#97D493",107
1233,1.71100780699022,0.277351010884829,5720,6.84578498284263,"#99D594",108
363,0.890763163454992,0.115030523279655,4964,6.84900862658933,"#9BD696",109
493,0.152919099109482,0.0564147916444537,4691,6.85115901920652,"#9DD798",110
380,2.6473799877477,0.582023989604063,7139,6.85562625242531,"#A0D89A",111
40,-0.252269367848108,0.024637764970425,4543,6.88585185147667,"#539DCC",112
477,1.54361126224222,0.17600806095144,5248,6.90461709059123,"#A1D99B",113
82,0.127240159609071,0.00166383352366103,4436,6.90537555271562,"#A3D99D",114
620,0.323611834742652,-0.00950106774018689,4384,6.92293581032745,"#A4DA9E",115
388,2.49170576991302,0.445039239482237,6501,6.92465833743427,"#A6DBA0",116
73,0.992505159615214,0.0512617602919085,4667,6.92608688836692,"#A7DBA1",117
333,1.52247612340478,0.107300976250837,4928,6.96695296567296,"#A9DCA3",118
629,0.786715765688394,-0.0165864858499365,4351,6.96701399897052,"#AADDA4",119
39,0.45636281281855,-0.0550195113543361,4172,6.97583028345428,"#ACDDA6",120
376,0.90545766873865,-0.0241013232390649,4316,6.98887077096135,"#ADDEA7",121
473,1.6769587497502,0.100215558141088,4895,7.00921409979961,"#AFDFA9",122
94,1.21147665556862,-0.0462164161270714,4213,7.05685054499005,"#B1DFAA",123
397,1.96009003708621,0.121686522110026,4995,7.06166112257881,"#B2E0AC",124
912,-1.62258233754082,0.0139022829859559,4493,7.08039202335074,"#58A1CE",125
272,-0.0970022491227971,-0.180839360212315,3586,7.08737021586597,"#5DA4D0",126
936,-1.22163133610367,-0.0977467296525233,3973,7.10935921858205,"#62A8D2",127
633,0.513426442047171,-0.185562972285481,3564,7.10999197382298,"#B4E1AD",128
67,0.335109492243006,-0.196727873549329,3512,7.11049593307882,"#B5E1AF",129
479,1.54284626859644,-0.0509400282002378,4191,7.12583600279697,"#B7E2B0",130
1224,-0.127988793602819,-0.228075480943979,3366,7.13509050804103,"#67ABD4",131
117,1.54483918931257,-0.06060196198626,4146,7.13570024748207,"#B8E2B1",132
528,0.381865744856283,-0.222278320672365,3393,7.13836656840097,"#BAE3B3",133
905,-0.866196526570376,-0.180195231293246,3589,7.13880763663857,"#6CAED6",134
371,0.472388964781072,-0.231940254458388,3348,7.15342182742881,"#BBE4B4",135
902,-1.06396483707747,-0.175686328859769,3610,7.1610347596197,"#72B1D7",136
98,1.68082923161581,-0.0601725427068813,4148,7.16595380386767,"#BDE4B6",137
1193,-0.359753267850174,-0.260281926897386,3216,7.1751733750418,"#77B4D8",138
954,-0.397771511098066,-0.259423088338629,3220,7.17632247956986,"#7DB7D9",139
303,2.42387293118994,0.150242904188714,5128,7.17729872654838,"#BEE5B7",140
112,1.45618310494443,-0.125229563532764,3845,7.180305580166,"#C0E6B9",141
460,1.98772798661503,0.00617273595713807,4457,7.18030943538058,"#C1E6BA",142
621,1.06252054667858,-0.195654325350882,3517,7.1805678850131,"#C3E7BC",143
97,0.660381892365959,-0.247828767795402,3274,7.18411215721625,"#C4E8BD",144
1468,0.506549247523329,-0.261784894375212,3209,7.18552892450072,"#C6E8BF",145
392,1.77185566919025,-0.0747727982057593,4080,7.20200004219013,"#C7E9C0",146
603,1.14362646715337,-0.216910579680131,3418,7.2140031917816,"#C8E9C1",147
609,1.47124186334093,-0.160656654081513,3680,7.21805439702266,"#C9E9C2",148
120,1.82703536210508,-0.100108535689107,3962,7.24028670180962,"#CAEAC3",149
