"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,1.5755565904714,6.90586700737546,36592,1.5755565904714,"#00441B",1
491,0.327907297222058,4.31303339848647,24516,2.61348604720893,"#00461C",2
15,-0.263577392069728,3.87266392748355,22465,3.04463363403153,"#08306B",3
462,1.20070265200501,3.02864033386458,18534,4.05888821431634,"#00491D",4
319,2.35062622267766,3.4286443926059,20397,4.19720392063629,"#004C1E",5
497,1.21909683034603,2.80276579291135,17482,4.28037809753958,"#004F1F",6
328,0.709944220675373,2.59707395808892,16524,4.36688886257142,"#005221",7
96,0.457689726247659,2.3284721988375,15273,4.60021989895515,"#005522",8
374,-0.266083730815113,2.10259765788427,14221,4.81063374157355,"#083472",9
26,-0.0568353968865841,2.06910295409273,14065,4.83709796980248,"#083979",10
95,1.24476854617161,2.15928100276227,14485,4.90708950730756,"#005823",11
63,0.471471646166112,2.01241960921473,13801,4.91610750001509,"#005B24",12
937,-0.912260867885509,2.01263431885442,13802,4.97754417711044,"#083E80",13
398,1.29892918329237,2.06029985886547,14024,5.01664609215439,"#005E26",14
102,-0.485175167798037,1.88015847116607,13185,5.04907330451596,"#084287",15
86,0.0917527321419536,1.79942764664286,12809,5.10726360282046,"#006127",16
1189,-1.19824835065395,1.90120001585563,13283,5.14611414621295,"#08478E",17
74,0.637049891131277,1.73029114266288,12487,5.21463499155844,"#006428",18
1242,0.671849107046411,1.71418791968618,12412,5.234970197832,"#006729",19
273,-0.297425878564913,1.6469838024634,12099,5.2672872255219,"#084C95",20
399,1.91074728849138,1.96539819812276,13582,5.29709233973469,"#006A2B",21
329,1.42551903042065,1.63517477228049,12044,5.46006420687357,"#006D2C",22
487,1.65130930715606,1.63410122408204,12039,5.52434040422959,"#026F2E",23
152,1.71270197995464,1.61177142155434,11935,5.56424263884594,"#05712F",24
139,0.537899834692538,1.33114592248032,10628,5.60061169931792,"#077331",25
167,1.04049890113602,1.39469997582838,10924,5.60852922011437,"#0A7533",26
389,1.61492378443921,1.52803466207548,11545,5.61507431506495,"#0C7734",27
588,1.57417317706694,1.49883415107773,11409,5.63152070940703,"#0E7936",28
25,0.352081744866456,1.27510670652139,10367,5.64175709515594,"#117B38",29
143,0.80091564196515,1.30409250787946,10502,5.65874044366307,"#137D39",30
386,1.21698292570327,1.37752320465323,10844,5.66070955292273,"#157F3B",31
1195,2.45731696744183,1.75584158978592,12606,5.70623943418919,"#18813D",32
106,1.38185307312334,1.3476785647364,10705,5.72738829481526,"#1A833F",33
119,0.611350131463887,1.20489665434296,10040,5.73365607177448,"#1C8540",34
385,1.11437650919859,1.25449458111121,10271,5.76019490161518,"#1F8742",35
1239,0.628762664609033,1.15980763000819,9830,5.7803581944925,"#218944",36
381,-0.836488076930089,1.1759108529849,9905,5.79069165420544,"#08519C",37
332,2.30411179965838,1.55186743208101,11656,5.82874280077429,"#238B45",38
1192,0.772533881554035,1.123306991261,9660,5.83393597309009,"#258D47",39
330,1.16408849466429,1.17934620721993,9921,5.84364120202667,"#278F48",40
306,-0.380308442785454,1.04880274628878,9313,5.86939828859422,"#0B559F",41
271,-0.72987374838994,1.06190003430983,9374,5.889368868637,"#0E59A2",42
1460,-0.750327415418199,1.06018235719232,9366,5.89364235933221,"#125DA6",43
44,-0.0785440557558328,0.961845342214582,8908,5.94454058145762,"#1562A9",44
68,0.289926026480899,0.938871410767818,8801,5.9740349472334,"#29914A",45
630,0.609706762156555,0.879826259853237,8526,6.05680686720467,"#2B934B",46
418,2.35172074364848,1.31311031274641,10544,6.06708479431634,"#2D954D",47
144,0.920166650592423,0.904303158777827,8640,6.07169459818727,"#2F974E",48
358,-0.294942080593089,0.832375429481884,8305,6.08064887801037,"#1866AC",49
617,-0.243552708347214,0.810045626954188,8201,6.10068489792289,"#1C6AB0",50
267,-0.391610129129227,0.808972078755741,8196,6.10945875375761,"#1F6EB3",51
1231,-0.450699534983568,0.796089500374378,8136,6.12637831478687,"#2373B6",52
1241,1.37943545781579,0.908382641931925,8659,6.15407677040343,"#309950",53
266,-0.488521856951464,0.734897253062904,7851,6.19027635193774,"#2777B8",54
420,1.5514347665598,0.913106254005092,8681,6.19032562003217,"#329B51",55
337,1.88687439396838,0.969789598883089,8945,6.22874866873171,"#349D53",56
51,-0.801551173637698,0.694102421521921,7661,6.26326620494644,"#2B7BBA",57
