"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,-0.514864585719018,7.50211037810325,36.592,0.514864585719018,"#08306B",1
15,-2.34072787118433,5.22560139120145,26.775,3.26519526742027,"#08306C",2
319,0.200826119871369,3.90704887011318,21.089,3.60066637952677,"#00441B",3
491,-1.73579514450744,4.02763404615362,21.609,3.88393750786155,"#08316D",4
497,-0.888337689206947,3.42980984647624,19.031,4.16806615469994,"#08326E",5
937,-2.95698983615405,4.42788407278013,23.335,4.26551946044781,"#08326F",6
462,-0.89272853559377,3.3145582455299,18.534,4.28165354755414,"#083370",7
588,-0.510094061735089,3.19049465094984,17.999,4.34168471108324,"#083471",8
399,-0.199495954250996,2.96973102096812,17.047,4.53676771201117,"#083472",9
77,-1.4300927648919,3.0724603151718,17.49,4.65477872688109,"#083573",10
328,-1.39873081945373,2.98248522228009,17.102,4.73111608972335,"#083674",11
68,-1.80238909490439,3.05530011704297,17.416,4.7982004905278,"#083775",12
1242,-1.44437919696898,2.76450432713008,16.162,4.95289232255803,"#083776",13
26,-2.14572114025308,2.93749767583424,16.908,5.04378908494839,"#083877",14
96,-1.672774039014,2.6290778986539,15.578,5.15214698270221,"#083978",15
159,-1.81043382531729,2.63046926606975,15.584,5.19716824437192,"#083979",16
95,-0.869088320227417,2.37561713439968,14.485,5.19963916883605,"#083A7A",17
397,-0.382324003317066,2.30164276679026,14.166,5.21450237509081,"#083B7B",18
474,-0.829463937734508,2.34500705125096,14.353,5.22338253891413,"#083C7C",19
63,-1.61950174440145,2.47602748291027,14.918,5.2805582251757,"#083C7D",20
724,-0.53565197757111,2.23277007970563,13.869,5.29649603241548,"#083D7E",21
329,-0.817388884328435,2.19566694861627,13.709,5.3690284464295,"#083E80",22
273,-2.39110888110379,2.61099012224784,15.5,5.44430519336788,"#083E81",23
152,-0.289444761132147,2.06093620384801,13.128,5.44886728268628,"#083F82",24
119,-1.49747266972403,2.18894200610632,13.68,5.5201614601168,"#084083",25
587,-0.397105516401133,1.99322298960992,12.836,5.52318142470958,"#084184",26
25,-1.69932744774201,2.24366912446313,13.916,5.52620287291677,"#084185",27
74,-1.38627649729741,2.13792520085844,13.46,5.5404192208471,"#084286",28
487,-0.463275594768477,1.93107524503524,12.568,5.59026445980744,"#084387",29
302,-0.807104036673241,1.95217765084232,12.659,5.60831259855727,"#084388",30
385,-0.989502692795802,1.95356901825817,12.665,5.63608257577563,"#084489",31
1241,-0.688535754092393,1.8837687528963,12.364,5.66037490827212,"#08458A",32
389,-0.527839099142642,1.85965171768821,12.26,5.66709395096608,"#08458B",33
482,-0.851798637769644,1.89258074653002,12.402,5.67383323748629,"#08468C",34
374,-2.336691510606,2.32042622690425,14.247,5.68418664881133,"#08478D",35
332,0.212017619345654,1.76758957367273,11.863,5.7384388406046,"#005C25",36
398,-0.779395567478383,1.79843155139076,11.996,5.75668390732835,"#08488E",37
86,-2.03706356130243,2.11357627108105,13.355,5.76072285180668,"#08488F",38
163,-1.14432614481118,1.81907016805922,12.085,5.79710517022726,"#084990",39
386,-0.868848317531654,1.76457494427172,11.85,5.80294841036433,"#084A91",40
418,0.206043796378744,1.65164228901847,11.363,5.85409522534657,"#067230",41
102,-2.54320050767767,2.20795736078962,13.762,5.87332316435789,"#084A92",42
106,-0.684375154827368,1.66532406860767,11.422,5.87677154356539,"#084B94",43
58,-2.13952543499788,2.02383307275865,12.968,5.88124912933099,"#084C95",44
1205,-0.978230527130431,1.7014996214198,11.578,5.8825181780222,"#084D96",45
330,-0.927785740900151,1.67042574913246,11.444,5.905025994252,"#084D97",46
327,-1.07325374936683,1.66833869800868,11.435,5.93167477412605,"#084E98",47
143,-1.22286595025358,1.65813533695911,11.391,5.97054816694458,"#084F99",48
71,-1.75682617667996,1.79193850345012,11.968,5.97432013313209,"#084F9A",49
932,-3.51016485518258,2.62049779958949,15.541,6.01260331946676,"#08509B",50
352,-0.73079503091479,1.53082521840873,10.842,6.01583808256154,"#08519C",51
347,-0.272501803652646,1.47331536522021,10.594,6.03495041739013,"#08519C",52
595,-0.57997325495219,1.4946496655966,10.686,6.03539171792277,"#09529D",53
1317,-1.29146233058339,1.5737257137308,11.027,6.06742282028229,"#09539D",54
91,-1.64306740762495,1.61477105249841,11.204,6.11231828693603,"#0A539E",55
139,-1.55798005766602,1.54357941972069,10.897,6.1588467298747,"#0A549E",56
506,-3.11799684682443,2.17920243419536,13.638,6.16889401077087,"#0B559F",57
65,-1.50784074898363,1.50647628863133,10.737,6.18233061710009,"#0B559F",58
167,-1.07025824081952,1.36826712532345,10.141,6.22651473552535,"#0C56A0",59
