"ID","delta_Z","benefit.stan","benefit","score","cols"
296,0.267732871019385,6.46857859604831,36592,0.267732871019385,"#00441B"
2089,-0.865130566655923,5.10831661473037,30007,1.61206809880396,"#08306B"
2162,-0.546839729556734,4.78565462311023,28445,1.76953858067898,"#08306B"
2702,-1.77192371623913,5.63424326688458,32553,1.9585272777425,"#08306B"
15,-0.304076466684416,4.44068309557781,26775,2.05056642380094,"#08306C"
2158,-0.618729971203293,3.94016452599036,24352,2.60301834164345,"#08306C"
2624,-1.31257819041992,4.2149023293545,25682,2.60804873823803,"#08316C"
2165,-1.24758994676127,4.11988023195036,25222,2.65948579255016,"#08316D"
2161,-0.631670482866751,3.85113295211822,23921,2.69258784403661,"#08316D"
2087,-0.977420193706594,3.91331045498484,24222,2.7358262934257,"#08316D"
937,-0.727623531126577,3.73008306281643,23335,2.83351262368462,"#08326E"
2160,-0.651432933853306,3.68029974656774,23094,2.86336581836297,"#08326E"
2088,-0.699273515633803,3.61068573173036,22757,2.94219902005053,"#08326E"
319,0.0124157282933385,3.26612734375187,21089,3.20247531975565,"#00451B"
2095,-0.391846358453331,3.27500984416139,21132,3.21751844464981,"#08326F"
2502,0.160241632570961,3.24216524962387,20973,3.2303901409574,"#00461C"
2766,-1.57344445670591,3.38552467483794,21667,3.46135073915216,"#08326F"
2629,-1.61758990161044,3.31033327602249,21303,3.54839549532701,"#08336F"
2902,-0.858663832701849,2.90442366428525,19338,3.66612928784586,"#083370"
497,-0.7722306814346,2.84100674275683,19031,3.70885666697184,"#083370"
2113,-1.02265357972102,2.86125058089946,19129,3.74948473166567,"#083370"
491,-2.13176516555177,3.37354362777394,21609,3.75814637499673,"#083471"
2302,-0.70273251726495,2.74805034312235,18581,3.78631264842747,"#083471"
462,-0.837147696640706,2.73834156360497,18534,3.82302034838981,"#083471"
588,-0.115726125338136,2.62782673292842,17999,3.8424949460142,"#083472"
2557,-0.184337490382301,2.47289940020428,17249,3.99992906767873,"#083472"
68,-0.642982980778576,2.50739655295752,17416,4.01302757180608,"#083572"
2328,-0.976329775983195,2.5530484736669,17637,4.03541769470616,"#083573"
77,-0.869004146221825,2.52268271645297,17490,4.04045325412363,"#083573"
328,-0.525258936164902,2.44253364299035,17102,4.06016439495553,"#083573"
1507,0.0282041252145099,2.36383055796649,16721,4.10484493358954,"#00481C"
2917,-2.22823942177045,2.99593407548097,19781,4.12605270045818,"#083674"
26,-0.707770242837634,2.40245910625904,16908,4.1272589477631,"#083674"
2293,-0.450511043050417,2.35887288331931,16697,4.13432476290237,"#083674"
1536,-0.319207950883715,2.32251660257338,16521,4.15833184938921,"#083675"
2578,-0.574063664867773,2.3493706735789,16651,4.15901707135907,"#083675"
1953,-0.381298415493285,2.27913694941062,16311,4.20675763412155,"#083775"
2613,-0.777922547741998,2.28244206584207,16327,4.25780489687028,"#083776"
1936,0.0617248909637286,2.20725066702662,15963,4.26177494488209,"#00491D"
1242,-0.707132293404389,2.24835805264276,16162,4.27905334336435,"#083776"
2306,-0.445358936090964,2.16159874631724,15742,4.32994457331102,"#083776"
2090,-1.26926976073684,2.31631950926442,16491,4.34192368073189,"#083877"
273,0.122656676744605,2.11160886029159,15500,4.3586958988498,"#004B1D"
2327,-0.638093478874492,2.13866950107407,15631,4.37667408639515,"#083877"
1564,-0.0546981334467068,2.08702705683269,15381,4.38189294444825,"#083877"
932,-0.691284593319331,2.12007822114717,15541,4.40310457512378,"#083878"
159,-0.760727669450259,2.12896072155669,15584,4.4057904947551,"#083978"
2157,-0.442968442646484,2.07091461422938,15303,4.41991736779865,"#083978"
2256,-0.455426749446194,2.04963792720193,15200,4.44234737035451,"#083979"
2246,-0.344606770178571,2.03290577526773,15119,4.44903890734443,"#083979"
2911,-0.660170742413045,2.06760949779793,15287,4.45020835612142,"#083979"
2568,-0.89906532758013,2.09033217326414,15397,4.46960403188908,"#083A7A"
399,-1.92776430028834,2.43117230525725,17047,4.47402779991201,"#083A7A"
63,0.0872039428344611,1.99138525009766,14918,4.47804251706822,"#004C1E"
