"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,1.71141023936216,7.50211037810325,36.592,1.71141023936216,"#00441B",1
15,-0.143893588696656,5.22560139120145,26.775,2.28105206698852,"#08306B",2
937,-0.769514457741736,4.42788407278013,23.335,3.16907240009031,"#08326D",3
491,0.461860914532491,4.02763404615362,21.609,3.50503941285272,"#00451B",4
497,1.34365057030271,3.42980984647624,19.031,4.28824305222598,"#00461C",5
319,2.49209790791692,3.90704887011318,21.089,4.3743592935281,"#00471C",6
462,1.32518384654318,3.3145582455299,18.534,4.39223235839801,"#00491D",7
68,0.417613481297508,3.05530011704297,17.416,4.46637688934022,"#004A1D",8
77,0.826382002712132,3.0724603151718,17.49,4.50607444395175,"#004B1E",9
26,0.0399169301050786,2.93749767583424,16.908,4.56478723305091,"#004D1E",10
328,0.816751931625228,2.98248522228009,17.102,4.59283085547062,"#004E1F",11
588,1.68817389825234,3.19049465094984,17.999,4.6303305810036,"#004F1F",12
1242,0.801853676262245,2.76450432713008,16.162,4.80498495443564,"#005020",13
159,0.454270426846763,2.63046926606975,15.584,4.89277515783859,"#005220",14
273,-0.147369017766085,2.61099012224784,15.5,4.89333985991536,"#083470",15
96,0.552982453441969,2.6290778986539,15.578,4.90430781452214,"#005321",16
399,2.04523216908619,2.96973102096812,17.047,4.97246792472808,"#005421",17
932,-1.30671852323781,2.62049779958949,15.541,5.05347946128967,"#083673",18
63,0.582119561605251,2.47602748291027,14.918,5.05968106241439,"#005622",19
374,-0.16709910537668,2.32042622690425,14.247,5.18437775955847,"#083876",20
25,0.473513646198357,2.24366912446313,13.916,5.27971775676695,"#005723",21
95,1.36096097536563,2.37561713439968,14.485,5.30406898090574,"#005823",22
102,-0.366719400267598,2.20795736078962,13.762,5.30683891683774,"#083A79",23
474,1.28009715992647,2.34500705125096,14.353,5.31360174106818,"#005924",24
119,0.762024152518651,2.18894200610632,13.68,5.36753565039024,"#005B24",25
86,0.210771248092394,2.11357627108105,13.355,5.39265466552086,"#005C25",26
506,-0.868689808579371,2.17920243419536,13.638,5.39332652106725,"#083C7C",27
74,0.765294670295926,2.13792520085844,13.46,5.41850150393595,"#005D25",28
58,0.0464656760077229,2.02383307275865,12.968,5.47847435818591,"#005F26",29
1189,-1.07115802182175,2.09711175666014,13.284,5.51011702285123,"#083E7F",30
397,1.84798246807161,2.30164276679026,14.166,5.51904906470448,"#006026",31
329,1.52248157196732,2.19566694861627,13.709,5.52053367051824,"#006127",32
724,1.67115360142773,2.23277007970563,13.869,5.52799254159066,"#006227",33
385,1.23604623588572,1.95356901825817,12.665,5.68455112732384,"#006428",34
302,1.40266361033947,1.95217765084232,12.659,5.72444045133605,"#006528",35
71,0.409139215588719,1.79193850345012,11.968,5.72481071615578,"#006629",36
152,1.86178357946209,2.06093620384801,13.128,5.75087945373025,"#006829",37
163,1.0437922189346,1.81907016805922,12.085,5.77810074551194,"#00692A",38
482,1.4150265101769,1.89258074653002,12.402,5.78525044505434,"#006A2B",39
587,1.81137332038798,1.99322298960992,12.836,5.79904419408183,"#006B2B",40
1241,1.52709869438945,1.8837687528963,12.364,5.82218112393792,"#006D2C",41
487,1.74172774752614,1.93107524503524,12.568,5.83695537077169,"#016E2C",42
398,1.42823965113185,1.79843155139076,11.996,5.87978066422154,"#026E2D",43
386,1.32298695563564,1.76457494427172,11.85,5.88809029645898,"#036F2E",44
44,0.0387047874830331,1.61036505568155,11.185,5.89187245320637,"#04702F",45
389,1.70561418359551,1.85965171768821,12.26,5.8946127504506,"#05712F",46
91,0.527610566580766,1.61477105249841,11.204,5.91093370329772,"#067230",47
143,0.93567424301274,1.65813533695911,11.391,5.91840608361348,"#077331",48
1205,1.24594802195569,1.7014996214198,11.578,5.93291426062833,"#087431",49
327,1.12125309031132,1.66833869800868,11.435,5.94054715560832,"#097532",50
912,-1.65926601602857,1.7965763948363,11.988,5.94190893115683,"#084082",51
330,1.28321399156807,1.67042574913246,11.444,5.97119617496614,"#0A7533",52
271,-0.614875431475985,1.55865256672575,10.962,5.97517887195496,"#084285",53
139,0.623483020644093,1.54357941972069,10.897,5.99106186406339,"#0B7634",54
381,-0.760787001015162,1.54659404912171,10.91,6.00391302449323,"#084488",55
1317,0.956689793335182,1.5737257137308,11.027,6.00508118924616,"#0C7734",56
106,1.49778714628876,1.66532406860767,11.422,6.02589750645518,"#0D7835",57
