"ID","delta_Z","benefit.stan","benefit","score","cols"
2702,-0.509487835663258,5.63424326688458,32553,0.97759567111336,"#08306B"
2089,0.453165247763946,5.10831661473037,30007,1.43376127706113,"#00441B"
296,1.58722971164619,6.46857859604831,36592,1.58722971164619,"#00441B"
2162,0.760367249219108,4.78565462311023,28445,1.84672451989319,"#00441B"
15,0.97929567984092,4.44068309557781,26775,2.25197251079661,"#00451B"
2624,0.0328266973965409,4.2149023293545,25682,2.2539153282945,"#00451B"
2165,0.0866895847524257,4.11988023195036,25222,2.3502976597914,"#00451B"
2087,0.356910977878372,3.91331045498484,24222,2.5800737816706,"#00461B"
2158,0.727931509973666,3.94016452599036,24352,2.6311142112952,"#00461C"
2161,0.632866029441427,3.85113295211822,23921,2.69286856533132,"#00471C"
937,0.614284610043001,3.73008306281643,23335,2.80654651977598,"#00471C"
2160,0.610048764806486,3.68029974656774,23094,2.85423517564734,"#00471C"
2088,0.614123699147485,3.61068573173036,22757,2.92313180369515,"#00481C"
2766,-0.302709909268669,3.38552467483794,21667,3.09787907611967,"#08306B"
2629,-0.298840399029257,3.31033327602249,21303,3.17235229530973,"#08306C"
491,-0.835292518428147,3.37354362777394,21609,3.20576902570712,"#08316D"
2095,0.837610901983338,3.27500984416139,21132,3.3015864968451,"#00481C"
319,1.34459622549296,3.26612734375187,21089,3.47327410852425,"#00491D"
2502,1.49879962476084,3.24216524962387,20973,3.55754738509116,"#00491D"
2917,-0.896477623926234,2.99593407548097,19781,3.58649300799915,"#08316D"
2902,0.408567346631535,2.90442366428525,19338,3.58749601454057,"#00491D"
2113,0.332604468844999,2.86125058089946,19129,3.62262903725643,"#004A1D"
497,0.578126923306102,2.84100674275683,19031,3.67335109814512,"#004A1D"
462,0.421904950019413,2.73834156360497,18534,3.75402079177281,"#004B1D"
2302,0.586455952391633,2.74805034312235,18581,3.76646532771986,"#004B1E"
2328,0.313391971808909,2.5530484736669,17637,3.92805176484099,"#004B1E"
77,0.459260107341605,2.52268271645297,17490,3.97253245912515,"#004C1E"
68,0.660434884534448,2.50739655295752,17416,4.0158607315512,"#004C1E"
588,1.17987313356401,2.62782673292842,17999,4.01789440943451,"#004D1E"
399,-0.642732767951585,2.43117230525725,17047,4.08824595247375,"#08326E"
328,0.800716436281208,2.44253364299035,17102,4.10489765711331,"#004D1E"
26,0.610766693899794,2.40245910625904,16908,4.11173487224328,"#004D1F"
2557,1.11922074633504,2.47289940020428,17249,4.14947072710816,"#004E1F"
2090,0.0616581326374973,2.31631950926442,16491,4.15271685154427,"#004E1F"
2578,0.694893873493918,2.3493706735789,16651,4.17740965239874,"#004F1F"
2293,0.859335851244994,2.35887288331931,16697,4.19858775667156,"#004F1F"
2613,0.52270404418653,2.28244206584207,16327,4.21864416220853,"#004F1F"
2916,-0.241687453554967,2.25310915751297,16185,4.22239214337458,"#08326F"
1536,0.98963434556094,2.32251660257338,16521,4.26253518362619,"#005020"
1242,0.621119038532714,2.24835805264276,16162,4.26568286385779,"#005020"
1953,0.917381366606481,2.27913694941062,16311,4.28870725072009,"#005120"
2621,-0.0620460581242913,2.1696549676189,15781,4.29937135827989,"#08336F"
2627,-0.0912156887741249,2.163044734756,15749,4.30649998637097,"#083370"
2096,0.116132485383489,2.15870676943973,15728,4.3114361778827,"#005120"
1507,1.32524131922266,2.36383055796649,16721,4.31337698448809,"#005120"
96,0.0233017507373743,2.1277213028949,15578,4.34091983467912,"#005220"
159,0.500627489522574,2.12896072155669,15584,4.3683991552825,"#005221"
2327,0.640889528359955,2.13866950107407,15631,4.37708260811949,"#005321"
2306,0.853325792605864,2.16159874631724,15742,4.39069929900874,"#005321"
2568,0.36184460618896,2.09033217326414,15397,4.39317348367333,"#005321"
932,0.654370073666191,2.12007822114717,15541,4.39746014238051,"#005421"
2911,0.662309318558172,2.06760949779793,15287,4.45052610791171,"#005421"
2628,-0.0250991447896334,1.99365751764428,14929,4.47499146647386,"#083471"
1936,1.3710492135832,2.20725066702662,15963,4.47645972446166,"#005522"
2157,0.836870085820512,2.07091461422938,15303,4.47658352290324,"#005522"
2687,-0.170874830671999,1.97362024927862,14832,4.49820505834846,"#083471"
2256,0.850087964910333,2.04963792720193,15200,4.49996513129489,"#005522"
2685,-0.877784801326925,2.03331891482166,15121,4.52128682980358,"#083572"
2246,0.957751820593379,2.03290577526773,15119,4.53789399643287,"#005622"
2625,0.0350434440364933,1.93024059611586,14622,4.53847329446817,"#005622"
2307,0.128214833961073,1.91288873485076,14538,4.55749373615212,"#005722"
1564,1.25601836184606,2.08702705683269,15381,4.55802325752044,"#005723"
95,0.0667354934256267,1.90194053667159,14485,4.5671256596935,"#005723"
273,1.42366621531781,2.11160886029159,15500,4.58366782947209,"#005823"
2082,0.0286162966388147,1.87715216343572,14365,4.5915156080021,"#005823"
2673,-0.789577478494709,1.94470048050345,14692,4.59226586761392,"#083573"
474,-0.213340285863963,1.87467332611214,14353,4.5988563476934,"#083573"
2295,0.885584052493373,1.95110414358938,14723,4.6034589758843,"#005923"
