"ID","delta_Z","benefit.stan","benefit","score","cols","priority"
296,1.1024128717046,7.50211037810325,36.592,1.1024128717046,"#00441B",1
15,-0.722873360918825,5.22560139120145,26.775,2.38852235982222,"#08306B",2
937,-1.38772611906639,4.42788407278013,23.335,3.37292916585565,"#08316C",3
491,-0.150162132704114,4.02763404615362,21.609,3.47771971949673,"#08326E",4
319,1.87821445140116,3.90704887011318,21.089,4.05612583282175,"#00451B",5
497,0.734025441038417,3.42980984647624,19.031,4.13792520086834,"#00471C",6
462,0.739831059269275,3.3145582455299,18.534,4.25240436215549,"#00491D",7
77,0.220229496155417,3.0724603151718,17.49,4.43512127353981,"#004B1D",8
588,1.08487016742305,3.19049465094984,17.999,4.44600646184878,"#004C1E",9
68,-0.189498496117305,3.05530011704297,17.416,4.45084611932402,"#083370",10
328,0.221907337987575,2.98248522228009,17.102,4.52506954817296,"#004E1F",11
26,-0.532340987100655,2.93749767583424,16.908,4.59554959153558,"#083572",12
1242,0.202751005397293,2.76450432713008,16.162,4.74194254123847,"#005020",13
399,1.44327562756962,2.96973102096812,17.047,4.75662771027133,"#005220",14
96,-0.0305094179109671,2.6290778986539,15.578,4.87312798624759,"#083674",15
159,-0.145607469541646,2.63046926606975,15.584,4.87381664198001,"#083776",16
273,-0.773270939916164,2.61099012224784,15.5,4.95186886980642,"#083978",17
63,-0.00460954206007642,2.47602748291027,14.918,5.02608500895373,"#083A7A",18
95,0.77670425324716,2.37561713439968,14.485,5.18499782784434,"#005321",19
474,0.665538194544686,2.34500705125096,14.353,5.19987074956953,"#005522",20
374,-0.734712407381746,2.32042622690425,14.247,5.23351248821931,"#083B7C",21
932,-1.90589546973103,2.62049779958949,15.541,5.24047506512959,"#083D7E",22
25,-0.120962062427037,2.24366912446313,13.916,5.25983233939361,"#083E80",23
119,0.148679983778204,2.18894200610632,13.68,5.31524824319286,"#005722",24
397,1.2670710332612,2.30164276679026,14.166,5.35260052494532,"#005923",25
74,0.166155428121594,2.13792520085844,13.46,5.36675788927236,"#005A24",26
724,1.08526407289709,2.23277007970563,13.869,5.37993915283791,"#005C25",27
102,-0.967565612509991,2.20795736078962,13.762,5.38184349319476,"#083F82",28
329,0.949970987052449,2.19566694861627,13.709,5.39080576042088,"#005E25",29
86,-0.377967053826619,2.11357627108105,13.355,5.40177368244171,"#084184",30
58,-0.565462657618879,2.02383307275865,12.968,5.50738324900447,"#084286",31
506,-1.49270803552363,2.17920243419536,13.638,5.52824802795917,"#084388",32
152,1.25291914564013,2.06093620384801,13.128,5.58356362729876,"#006026",33
385,0.638988461323261,1.95356901825817,12.665,5.58521418350413,"#006127",34
302,0.828722057890286,1.95217765084232,12.659,5.61146447252015,"#006328",35
587,1.24271999416931,1.99322298960992,12.836,5.64731734923839,"#006528",36
1189,-1.68040392760721,2.09711175666014,13.284,5.66019146829147,"#08458A",37
482,0.820598522165098,1.89258074653002,12.402,5.66923315996772,"#006729",38
487,1.1606287582825,1.93107524503524,12.568,5.69064948564137,"#00682A",39
1241,0.917556413098391,1.8837687528963,12.364,5.69277369906366,"#006A2A",40
163,0.456556666983459,1.81907016805922,12.085,5.70134984184836,"#006C2B",41
71,-0.164427890374085,1.79193850345012,11.968,5.71253878491975,"#08468C",42
389,1.14264238313059,1.85965171768821,12.26,5.75699325605119,"#006D2C",43
398,0.835567446550727,1.79843155139076,11.996,5.76455766872217,"#026E2D",44
386,0.728865132563939,1.76457494427172,11.85,5.78364566998531,"#03702E",45
1205,0.649763771130146,1.7014996214198,11.578,5.83688942064392,"#05712F",46
143,0.336669461923283,1.65813533695911,11.391,5.85366471606526,"#067230",47
327,0.525807789749013,1.66833869800868,11.435,5.85741972605977,"#077331",48
330,0.688973819300157,1.67042574913246,11.444,5.87224237710393,"#097432",49
91,-0.0668158172557287,1.61477105249841,11.204,5.88771846204018,"#08478E",50
106,0.920272782991926,1.66532406860767,11.422,5.90888960954854,"#0A7633",51
44,-0.578042748006965,1.61036505568155,11.185,5.9200334764933,"#084990",52
1317,0.374702053461369,1.5737257137308,11.027,5.94021433600123,"#0C7734",53
139,0.0493554679210308,1.54357941972069,10.897,5.95873536450621,"#0D7835",54
65,0.0542625998953665,1.50647628863133,10.737,5.9958796322629,"#0E7936",55
81,-0.0967254810334125,1.48583767196287,10.648,6.01705019867134,"#084A92",56
332,1.8395274445188,1.76758957367273,11.863,6.0223409132649,"#107A37",57
352,0.919191436518462,1.53082521840873,10.842,6.04161893496742,"#117C38",58
503,-0.0824897250356515,1.44711127888835,10.481,6.05556096874845,"#084B94",59
