Model.catch	CentroidX	CentroidY	Catch.Area.ft2	Catch.Area.ha	2b.Ecoreg	2d.Ecoreg	2e.Ecoreg	2f.Ecoreg	2g.Ecoreg	4a.Ecoreg	4b.Ecoreg	4d.Ecoreg	77a.Ecoreg	77b.Ecoreg	77c.Ecoreg	Impervious	conifer.forest	dense.urban	grass.shrub.crops	light.med.urb	mix.deciduous	regrow.veg	Agriculture	Apt.condo	Commercial	Forest.timber	Industrial	Parks.open.space	Residential	FC00.Road	FC01.Road	FC02.Road	FC07.Road	FC08.Road	FC11.Road	FC12.Road	FC14.Road	FC06.FC16.Road	FC17.Road
4422	1231146	-12335	53794096	500	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.86296430	0.15223238	0.00932401	0.22305899	0.05433029	0.32096109	0.05630267	0.00000000	0.10075150	0.00000000	0.05197582	0.00000000	0.44418730	0.38626417	0.01343324	0.00000000	0.00000000	0.00489775	0.00000000	0.00000000	0.00000000	0.00000000	0.00082016	0.00000000
4426	1279892	-11678	65740880	611	0.00000000	0.00000000	0.00000000	0.00000000	0.92343946	0.07656054	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.97524315	0.28560983	0.00116993	0.05103832	0.01462416	0.53363557	0.00482597	0.00000000	0.03910282	0.01319511	0.56043793	0.00000000	0.11762684	0.18555047	0.00405633	0.00000000	0.00000000	0.00029183	0.00000000	0.00000000	0.00000000	0.00000000	0.00268262	0.00000000
4441	1287678	-11343	18189103	169	0.00000000	0.00000000	0.00000000	0.00000000	0.05316999	0.94683001	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.31786667	0.22607781	0.00105152	0.01209253	0.00525762	0.72502629	0.00210305	0.00000000	0.00579710	0.00049777	0.46502079	0.00000000	0.00000000	0.52078874	0.00409262	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4443	1366010	-12250	22885062	213	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.19644369	0.42447257	0.00000000	0.05021097	0.00000000	0.50379747	0.00295359	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4444	1308424	-16008	253582155	2356	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.07527210	0.37125953	0.00000000	0.03072022	0.00125156	0.43857853	0.04634581	0.00000000	0.00071297	0.00000000	0.98824734	0.00026427	0.00000000	0.00783963	0.00099498	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4448	1258380	-16229	91001496	845	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.13370918	0.34491866	0.00728925	0.15127826	0.06697655	0.32252271	0.02440313	0.00000000	0.18486382	0.00185510	0.08640237	0.00323908	0.18680926	0.48958425	0.01452071	0.00000000	0.00000000	0.00203209	0.00212168	0.00000000	0.00000000	0.00000000	0.00547732	0.00000000
4451	1284936	-10100	4551799	42	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	6.27038627	0.20042644	0.00000000	0.04264392	0.02985075	0.39445629	0.00639659	0.00000000	0.13958153	0.00000000	0.06275827	0.00053847	0.01550596	0.38601335	0.03458194	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4455	1351327	-12304	18462290	172	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.27120419	0.76059979	0.00000000	0.00620476	0.00000000	0.02843847	0.01189245	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4467	1284272	-11494	2446067	23	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.87890625	0.31349206	0.00793651	0.05555556	0.05158730	0.57142857	0.00000000	0.00000000	0.03875855	0.22189664	0.26874246	0.00000000	0.00000000	0.38581449	0.04652857	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
4468	1362279	-13909	23106468	215	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.49497487	0.83878989	0.00000000	0.00124327	0.00000000	0.14960630	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
