Model.catch	axis1	axis2
328	-0.0915	0.36114
329	-0.151	0.57497
331	0.16438	0.3316
332	0.22736	-0.98734
333	0.22908	-0.98706
334	0.23179	-0.98764
336	0.23137	-0.98724
337	0.5627	0.82096
338	0.23224	-0.98725
339	0.02334	-0.82482
342	0.22903	-0.98807
343	-0.50298	0.40142
344	-0.05051	-0.15056
345	-0.39203	0.24431
346	-1.20295	0.41312
347	0.17298	-0.01518
353	0.3388	0.3204
354	0.23226	-0.98686
355	-0.1781	-0.54496
356	0.43981	-0.22079
357	0.23313	-0.98671
358	0.46305	-0.11662
361	0.29001	-0.65548
364	0.32943	-0.77322
365	0.18612	-0.96978
366	0.2284	-0.98794
367	-0.07446	-0.12629
368	0.62235	-0.07734
369	0.2322	-0.98747
370	0.73389	-0.42556
372	0.52279	-0.32147
373	0.43687	-0.17747
374	0.39323	0.50554
375	-0.47782	-0.38354
376	0.5165	0.33745
377	0.42227	-0.287
378	0.23376	-0.98679
379	0.67671	0.91594
380	0.59258	0.1684
381	0.22792	0.33272
382	0.59641	0.24298
383	0.06131	-0.8382
385	0.55561	0.16145
387	0.17595	0.50304
390	0.16934	0.50262
393	0.23083	-0.98707
394	-0.06829	-0.74379
395	0.6313	1.19978
397	0.1684	-0.03684
399	0.26551	-0.72032
400	0.48299	-0.13932
403	0.50321	-0.30254
404	0.23001	-0.98692
405	0.22787	-0.98788
406	0.22904	-0.98722
410	0.42119	-0.20458
411	-0.61912	-0.23498
412	0.22772	-0.98778
413	0.23297	-0.98672
415	0.15318	0.21332
416	0.54354	0.01694
417	0.24583	-0.85055
418	0.42491	-0.24691
419	0.5037	0.00316
421	0.22869	-0.98779
423	0.64315	0.98269
424	0.23062	-0.98784
425	0.23039	-0.98745
426	0.33326	-0.51754
427	0.43262	-0.17362
429	0.29136	-0.76122
430	0.28634	0.2552
432	-1.04241	0.16813
433	0.23069	-0.98759
434	0.22937	-0.98794
436	0.28194	-0.78284
438	0.40274	-0.33553
439	-0.2672	-0.55387
442	0.41727	0.11298
445	0.22607	-0.9881
447	0.22703	-0.98742
449	-0.3009	-0.26182
450	-0.12216	0.07897
451	0.30102	-0.71348
456	0.23019	-0.98757
457	0.19896	-0.22231
458	0.31869	-0.59785
459	-0.40586	-0.44797
460	0.08603	0.2427
461	-1.12699	0.27
463	0.68388	0.50863
464	0.41186	-0.48325
465	0.22684	-0.98769
466	0.23288	-0.98712
468	-0.52055	-0.32734
469	0.22978	-0.98705
