Model.catch	axis1	axis2
321	0.01883	-0.45874
323	0.24663	-0.62996
324	-0.02613	1.75104
325	-0.1469	-0.55255
328	0.21489	-0.55961
329	0.09445	-0.60942
331	0.14093	-0.57665
332	0.02289	-0.24634
333	0.02189	-0.29426
334	-0.02656	1.75105
336	0.01874	-0.48435
337	0.14379	-0.62947
338	-0.02664	1.75105
339	0.02349	-0.54906
342	-0.02615	1.75105
343	0.17242	-0.47864
344	0.01865	-0.1001
345	0.18521	-0.52348
346	-0.02676	1.75104
347	0.07237	-0.54239
353	0.11853	-0.6216
354	0.02684	-0.57952
355	0.02362	-0.21371
356	0.25569	-0.54632
357	-0.02666	1.75104
358	1.9347	0.4737
361	-0.42716	-0.41383
364	0.02241	-0.17279
365	0.02469	-0.56013
366	0.02292	-0.54247
367	0.01996	-0.36835
368	0.17613	-0.61614
369	0.01904	-0.49397
370	-0.02608	1.75105
372	0.02547	-0.56808
373	-0.143	-0.42558
374	0.01833	-0.4714
375	0.02062	-0.37584
376	0.15023	-0.63356
377	0.02321	-0.26011
378	0.01983	-0.12031
379	0.02884	-0.59296
380	0.02823	-0.58809
381	0.13668	-0.57031
382	0.02338	-0.31399
383	0.01956	-0.39123
385	0.02009	-0.50887
387	0.20847	-0.60003
390	0.13567	-0.59629
393	0.01819	-0.47324
394	0.01903	-0.4383
395	0.02668	-0.57821
397	-0.10713	-0.50921
399	-0.13156	-0.517
400	0.01921	-0.39288
403	0.0081	-0.00088
404	0.02114	-0.3845
405	0.02473	-0.56041
406	0.01865	-0.46031
410	0.01863	-0.48195
411	0.01886	-0.44965
412	0.01884	-0.41978
413	0.01998	-0.50498
415	-0.11019	-0.57096
416	0.01911	-0.78851
417	0.02085	-0.52171
418	0.02635	-0.57543
419	0.14422	-0.54678
421	0.02305	-0.23114
423	-0.02622	1.75104
424	0.02079	-0.37462
425	0.02001	-0.50572
426	0.02141	-0.52824
427	0.02007	-0.50841
429	0.02574	-0.20693
430	0.1622	-0.58917
432	0.02306	-0.24055
433	-0.02634	1.75104
434	0.01944	-0.40917
436	0.01878	-0.48264
438	-0.02675	1.75104
439	0.01949	-0.41239
442	0.30765	-0.49424
445	0.01836	-0.47124
447	-0.02643	1.75104
449	0.01867	-0.43407
450	0.02378	-0.55224
451	0.18358	-0.50989
456	-0.02657	1.75105
457	0.01843	-0.47041
458	0.01874	-0.40273
459	0.0188	-0.459
460	0.21841	-0.5442
461	0.01908	-0.39902
463	-0.10451	-0.63821
464	0.33893	-0.5136
465	0.02141	-0.52794
466	0.01841	-0.46707
468	0.02061	-0.35051
469	0.01865	-0.44194
470	0.02689	-0.26787
471	0.21755	-0.55848
474	-0.18935	-0.63214
475	0.02525	-0.56604
476	0.18566	-0.61173
478	0.02091	-0.52207
479	0.02602	-0.5734
480	0.0194	-0.41097
481	0.01863	-0.48747
482	0.02128	-0.34391
483	0.01834	-0.47139
484	-0.02679	1.75104
485	0.02274	-0.5402
487	-0.01243	-0.65061
488	0.01938	-0.428
489	0.02586	-0.27111
490	0.01996	-0.50259
492	0.02231	-0.319
493	0.02317	-0.23954
495	0.06006	-0.58989
498	0.02417	-0.55603
500	0.02026	-0.36664
501	0.019	-0.39955
502	0.01822	-0.44444
503	0.16798	-0.60026
506	0.1861	-0.70304
507	-0.00207	-0.72897
508	0.02113	-0.52533
509	0.1357	-0.61493
510	0.02025	-0.3635
511	0.02363	-0.27889
512	0.19747	-0.58267
517	0.0249	-0.56256
518	0.02115	-0.38578
519	0.02285	-0.54166
520	0.01881	-0.45486
521	0.17014	-0.66747
523	0.02318	-0.24894
524	0.0533	-0.66994
527	0.00602	0.09182
528	0.01876	-0.48443
529	0.02167	-0.52945
